questionId,RootTaxonomy,ChildTaxonomy,questionText
HM067,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×8×7?
HM068,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 15 cm by 11 cm?
HM069,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 15 cm by 8 cm?
HM070,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 70, 74, 78, 82, ...?"
HM071,CBSE,GENERAL_MATHS_HARD,What is 74/12 + 78/12 in simplest form?
HM072,CBSE,GENERAL_MATHS_HARD,What is 90.0 × 0.4?
HM073,CBSE,GENERAL_MATHS_HARD,What is 25% of 584?
HM074,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 592, what is the larger part?"
HM075,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 6 cm?
HM076,CBSE,GENERAL_MATHS_HARD,What is the supplement of 90°?
HM077,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×6×8?
HM078,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 11 cm by 11 cm?
HM079,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 13 cm by 10 cm?
HM080,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 80, 84, 88, 92, ...?"
HM081,CBSE,GENERAL_MATHS_HARD,What is 84/12 + 88/12 in simplest form?
HM082,CBSE,GENERAL_MATHS_HARD,What is 102.5 × 0.4?
HM083,CBSE,GENERAL_MATHS_HARD,What is 25% of 664?
HM084,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 672, what is the larger part?"
HM085,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 16 cm?
HM086,CBSE,GENERAL_MATHS_HARD,What is the supplement of 120°?
HM087,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×8×6?
HM088,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 14 cm by 11 cm?
HM089,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 17 cm by 8 cm?
HM090,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 90, 94, 98, 102, ...?"
HM091,CBSE,GENERAL_MATHS_HARD,What is 94/12 + 98/12 in simplest form?
HM092,CBSE,GENERAL_MATHS_HARD,What is 115.0 × 0.4?
HM093,CBSE,GENERAL_MATHS_HARD,What is 25% of 744?
HM094,CBSE,GENERAL_MATHS_HARD,"If the ratio is 3:5 and the total is 752, what is the larger part?"
HM095,CBSE,GENERAL_MATHS_HARD,What is the area of a square with side length 11 cm?
HM096,CBSE,GENERAL_MATHS_HARD,What is the supplement of 30°?
HM097,CBSE,GENERAL_MATHS_HARD,What is the volume of a cuboid 6×6×7?
HM098,CBSE,GENERAL_MATHS_HARD,What is the area of a rectangle 10 cm by 11 cm?
HM099,CBSE,GENERAL_MATHS_HARD,What is the perimeter of a rectangle 15 cm by 10 cm?
HM100,CBSE,GENERAL_MATHS_HARD,"What is the next number in the pattern: 100, 104, 108, 112, ...?"
